Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	307.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	3110.0
0.1414	3489.0
0.1485	3735.0
0.1556	3829.0
0.1626	4086.0
0.1697	4344.0
0.1768	4441.0
0.1838	4562.0
0.1909	4863.0
0.1980	4873.0
0.2051	5054.0
0.2121	5147.0
0.2192	5278.0
0.2263	5420.0
0.2333	5437.0
0.2404	5574.0
0.2475	5623.0
0.2545	5770.0
0.2616	5824.0
0.2687	5883.0
0.2758	6018.0
0.2828	6070.0
0.2899	6034.0
0.2970	6105.0
0.3040	6235.0
0.3111	6310.0
0.3182	6292.0
0.3253	6319.0
0.3323	6318.0
0.3394	6449.0
0.3465	6613.0
0.3535	6517.0
0.3606	6571.0
0.3677	6651.0
0.3747	6667.0
0.3818	6632.0
0.3889	6755.0
0.3960	6708.0
0.4030	6687.0
0.4101	6848.0
0.4172	6852.0
0.4242	6850.0
0.4313	6891.0
0.4384	6862.0
0.4455	6888.0
0.4525	6960.0
0.4596	7024.0
0.4667	6984.0
0.4737	7032.0
0.4808	7137.0
0.4879	7100.0
0.4949	7024.0
0.5020	7227.0
0.5091	7194.0
0.5162	7186.0
0.5232	7307.0
0.5303	7217.0
0.5374	7233.0
0.5444	7309.0
0.5515	7220.0
0.5586	7187.0
0.5657	7270.0
0.5727	7357.0
0.5798	7351.0
0.5869	7453.0
0.5939	7350.0
0.6010	7373.0
0.6081	7333.0
0.6152	7351.0
0.6222	7453.0
0.6293	7477.0
0.6364	7403.0
0.6434	7454.0
0.6505	7443.0
0.6576	7474.0
0.6646	7461.0
0.6717	7441.0
0.6788	7460.0
0.6859	7507.0
0.6929	7395.0
0.7000	7523.0
