Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	292.0
0.0919	965.0
0.0990	1276.0
0.1061	0.0
0.1131	2266.0
0.1202	2542.0
0.1273	2954.0
0.1343	3248.0
0.1414	3475.0
0.1485	3695.0
0.1556	3931.0
0.1626	4013.0
0.1697	4327.0
0.1768	4470.0
0.1838	4595.0
0.1909	4742.0
0.1980	4925.0
0.2051	5006.0
0.2121	5190.0
0.2192	5167.0
0.2263	5367.0
0.2333	5605.0
0.2404	5585.0
0.2475	5675.0
0.2545	5786.0
0.2616	5817.0
0.2687	5809.0
0.2758	5923.0
0.2828	5971.0
0.2899	6185.0
0.2970	6066.0
0.3040	6234.0
0.3111	6317.0
0.3182	6359.0
0.3253	6366.0
0.3323	6355.0
0.3394	6385.0
0.3465	6561.0
0.3535	6513.0
0.3606	6589.0
0.3677	6628.0
0.3747	6607.0
0.3818	6606.0
0.3889	6682.0
0.3960	6698.0
0.4030	6777.0
0.4101	6759.0
0.4172	6772.0
0.4242	6904.0
0.4313	6910.0
0.4384	6946.0
0.4455	6968.0
0.4525	7000.0
0.4596	7045.0
0.4667	7034.0
0.4737	7162.0
0.4808	7061.0
0.4879	7051.0
0.4949	7092.0
0.5020	7160.0
0.5091	7137.0
0.5162	7187.0
0.5232	7183.0
0.5303	7252.0
0.5374	7205.0
0.5444	7218.0
0.5515	7257.0
0.5586	7276.0
0.5657	7176.0
0.5727	7316.0
0.5798	7246.0
0.5869	7310.0
0.5939	7264.0
0.6010	7393.0
0.6081	7366.0
0.6152	7426.0
0.6222	7382.0
0.6293	7462.0
0.6364	7483.0
0.6434	7414.0
0.6505	7519.0
0.6576	7445.0
0.6646	7448.0
0.6717	7525.0
0.6788	7504.0
0.6859	7412.0
0.6929	7545.0
0.7000	7470.0
