Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	3543.0
0.0354	3876.0
0.0424	4342.0
0.0495	0.0
0.0566	4832.0
0.0636	5009.0
0.0707	5246.0
0.0778	5321.0
0.0848	5506.0
0.0919	5650.0
0.0990	5748.0
0.1061	5832.0
0.1131	5906.0
0.1202	6123.0
0.1273	6123.0
0.1343	6224.0
0.1414	6316.0
0.1485	6358.0
0.1556	6402.0
0.1626	6460.0
0.1697	6473.0
0.1768	6570.0
0.1838	6584.0
0.1909	6698.0
0.1980	6743.0
0.2051	6854.0
0.2121	6856.0
0.2192	6865.0
0.2263	6918.0
0.2333	6862.0
0.2404	6899.0
0.2475	6836.0
0.2545	6988.0
0.2616	7010.0
0.2687	6964.0
0.2758	7020.0
0.2828	7133.0
0.2899	7111.0
0.2970	7140.0
0.3040	7200.0
0.3111	7148.0
0.3182	7260.0
0.3253	7061.0
0.3323	7247.0
0.3394	7265.0
0.3465	7241.0
0.3535	7269.0
0.3606	7238.0
0.3677	7263.0
0.3747	7349.0
0.3818	7426.0
0.3889	7326.0
0.3960	7332.0
0.4030	7314.0
0.4101	7345.0
0.4172	7529.0
0.4242	7338.0
0.4313	7473.0
0.4384	7466.0
0.4455	7483.0
0.4525	7519.0
0.4596	7502.0
0.4667	7522.0
0.4737	7566.0
0.4808	7574.0
0.4879	7544.0
0.4949	7546.0
0.5020	7593.0
0.5091	7574.0
0.5162	7591.0
0.5232	7578.0
0.5303	7636.0
0.5374	7633.0
0.5444	7567.0
0.5515	7628.0
0.5586	7596.0
0.5657	7562.0
0.5727	7625.0
0.5798	7672.0
0.5869	7598.0
0.5939	7693.0
0.6010	7649.0
0.6081	7749.0
0.6152	7649.0
0.6222	7699.0
0.6293	7730.0
0.6364	7809.0
0.6434	7752.0
0.6505	7732.0
0.6576	7793.0
0.6646	7745.0
0.6717	7763.0
0.6788	7713.0
0.6859	7673.0
0.6929	7805.0
0.7000	7763.0
