Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	2988.0
0.1414	3465.0
0.1485	3932.0
0.1556	4212.0
0.1626	4543.0
0.1697	4738.0
0.1768	4998.0
0.1838	5251.0
0.1909	5398.0
0.1980	5678.0
0.2051	5741.0
0.2121	5907.0
0.2192	6077.0
0.2263	6077.0
0.2333	6206.0
0.2404	6355.0
0.2475	6435.0
0.2545	6362.0
0.2616	6652.0
0.2687	6671.0
0.2758	6803.0
0.2828	6850.0
0.2899	6843.0
0.2970	7023.0
0.3040	7037.0
0.3111	7080.0
0.3182	7185.0
0.3253	7131.0
0.3323	7169.0
0.3394	7264.0
0.3465	7352.0
0.3535	7385.0
0.3606	7392.0
0.3677	7418.0
0.3747	7533.0
0.3818	7525.0
0.3889	7544.0
0.3960	7602.0
0.4030	7646.0
0.4101	7659.0
0.4172	7694.0
0.4242	7752.0
0.4313	7790.0
0.4384	7694.0
0.4455	7782.0
0.4525	7787.0
0.4596	7809.0
0.4667	7835.0
0.4737	7882.0
0.4808	7751.0
0.4879	7821.0
0.4949	7939.0
0.5020	7918.0
0.5091	7870.0
0.5162	7906.0
0.5232	7925.0
0.5303	7949.0
0.5374	7955.0
0.5444	7984.0
0.5515	8091.0
0.5586	8046.0
0.5657	8130.0
0.5727	8043.0
0.5798	8128.0
0.5869	8040.0
0.5939	8092.0
0.6010	8080.0
0.6081	8089.0
0.6152	8136.0
0.6222	8071.0
0.6293	8142.0
0.6364	8101.0
0.6434	8093.0
0.6505	8086.0
0.6576	8185.0
0.6646	8169.0
0.6717	8166.0
0.6788	8139.0
0.6859	8142.0
0.6929	8117.0
0.7000	8191.0
