Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	530.0
0.1202	0.0
0.1273	2081.0
0.1343	2900.0
0.1414	3499.0
0.1485	3786.0
0.1556	0.0
0.1626	4569.0
0.1697	4814.0
0.1768	5081.0
0.1838	5152.0
0.1909	5307.0
0.1980	5701.0
0.2051	5791.0
0.2121	5871.0
0.2192	5931.0
0.2263	6214.0
0.2333	6283.0
0.2404	6343.0
0.2475	6424.0
0.2545	6494.0
0.2616	6541.0
0.2687	6799.0
0.2758	6820.0
0.2828	6867.0
0.2899	6924.0
0.2970	6871.0
0.3040	7054.0
0.3111	7071.0
0.3182	7140.0
0.3253	7191.0
0.3323	7303.0
0.3394	7386.0
0.3465	7361.0
0.3535	7362.0
0.3606	7457.0
0.3677	7487.0
0.3747	7529.0
0.3818	7561.0
0.3889	7557.0
0.3960	7557.0
0.4030	7606.0
0.4101	7689.0
0.4172	7633.0
0.4242	7722.0
0.4313	7769.0
0.4384	7759.0
0.4455	7785.0
0.4525	7751.0
0.4596	7804.0
0.4667	7824.0
0.4737	7847.0
0.4808	7844.0
0.4879	7913.0
0.4949	7930.0
0.5020	7915.0
0.5091	7912.0
0.5162	7974.0
0.5232	7933.0
0.5303	7943.0
0.5374	8015.0
0.5444	7905.0
0.5515	7932.0
0.5586	8066.0
0.5657	8010.0
0.5727	8033.0
0.5798	8083.0
0.5869	7999.0
0.5939	8009.0
0.6010	8017.0
0.6081	8094.0
0.6152	8076.0
0.6222	8051.0
0.6293	8127.0
0.6364	8101.0
0.6434	8087.0
0.6505	8165.0
0.6576	8184.0
0.6646	8132.0
0.6717	8089.0
0.6788	8145.0
0.6859	8139.0
0.6929	8220.0
0.7000	8188.0
