Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	0.0
0.1414	0.0
0.1485	2989.0
0.1556	0.0
0.1626	3742.0
0.1697	4017.0
0.1768	4339.0
0.1838	4606.0
0.1909	4691.0
0.1980	5019.0
0.2051	5344.0
0.2121	5274.0
0.2192	5474.0
0.2263	5608.0
0.2333	0.0
0.2404	5825.0
0.2475	6057.0
0.2545	6185.0
0.2616	6192.0
0.2687	6198.0
0.2758	6271.0
0.2828	6323.0
0.2899	6388.0
0.2970	6542.0
0.3040	6559.0
0.3111	6674.0
0.3182	6662.0
0.3253	6738.0
0.3323	6759.0
0.3394	6853.0
0.3465	6898.0
0.3535	6936.0
0.3606	6884.0
0.3677	6987.0
0.3747	7017.0
0.3818	7091.0
0.3889	7161.0
0.3960	7230.0
0.4030	7161.0
0.4101	7231.0
0.4172	7166.0
0.4242	7162.0
0.4313	7132.0
0.4384	7390.0
0.4455	7367.0
0.4525	7225.0
0.4596	7422.0
0.4667	7457.0
0.4737	7380.0
0.4808	7396.0
0.4879	7338.0
0.4949	7372.0
0.5020	7339.0
0.5091	7405.0
0.5162	7503.0
0.5232	7534.0
0.5303	7527.0
0.5374	7459.0
0.5444	7543.0
0.5515	7557.0
0.5586	7529.0
0.5657	7597.0
0.5727	7575.0
0.5798	7682.0
0.5869	7665.0
0.5939	7642.0
0.6010	7546.0
0.6081	7616.0
0.6152	7648.0
0.6222	7733.0
0.6293	7673.0
0.6364	7645.0
0.6434	7651.0
0.6505	7711.0
0.6576	7636.0
0.6646	7794.0
0.6717	7721.0
0.6788	7720.0
0.6859	7731.0
0.6929	7759.0
0.7000	7689.0
