Beta	Final Infections
0.0000	0.0
0.0071	0.0
0.0141	0.0
0.0212	0.0
0.0283	0.0
0.0354	0.0
0.0424	0.0
0.0495	0.0
0.0566	0.0
0.0636	0.0
0.0707	0.0
0.0778	0.0
0.0848	0.0
0.0919	0.0
0.0990	0.0
0.1061	0.0
0.1131	0.0
0.1202	0.0
0.1273	0.0
0.1343	17.0
0.1414	2347.0
0.1485	2860.0
0.1556	3293.0
0.1626	0.0
0.1697	3926.0
0.1768	4244.0
0.1838	4501.0
0.1909	4792.0
0.1980	5078.0
0.2051	5137.0
0.2121	5414.0
0.2192	5561.0
0.2263	5661.0
0.2333	5796.0
0.2404	5811.0
0.2475	5940.0
0.2545	6033.0
0.2616	6222.0
0.2687	6334.0
0.2758	6365.0
0.2828	6517.0
0.2899	6420.0
0.2970	6620.0
0.3040	6670.0
0.3111	6683.0
0.3182	6687.0
0.3253	6748.0
0.3323	6794.0
0.3394	6799.0
0.3465	6966.0
0.3535	6950.0
0.3606	6962.0
0.3677	7107.0
0.3747	7098.0
0.3818	7020.0
0.3889	7026.0
0.3960	7111.0
0.4030	7219.0
0.4101	7096.0
0.4172	7064.0
0.4242	7272.0
0.4313	7228.0
0.4384	7290.0
0.4455	7330.0
0.4525	7352.0
0.4596	7384.0
0.4667	7404.0
0.4737	7362.0
0.4808	7363.0
0.4879	7402.0
0.4949	7387.0
0.5020	7477.0
0.5091	7513.0
0.5162	7489.0
0.5232	7560.0
0.5303	7502.0
0.5374	7460.0
0.5444	7479.0
0.5515	7558.0
0.5586	7562.0
0.5657	7583.0
0.5727	7505.0
0.5798	7532.0
0.5869	7598.0
0.5939	7584.0
0.6010	7583.0
0.6081	7556.0
0.6152	7640.0
0.6222	7604.0
0.6293	7649.0
0.6364	7598.0
0.6434	7609.0
0.6505	7756.0
0.6576	7702.0
0.6646	7663.0
0.6717	7731.0
0.6788	7649.0
0.6859	7671.0
0.6929	7748.0
0.7000	7735.0
