Beta	Final Infections
0.0000	0.0
0.0071	962.0
0.0141	2110.0
0.0212	3003.0
0.0283	3466.0
0.0354	3913.0
0.0424	4392.0
0.0495	4541.0
0.0566	4821.0
0.0636	4977.0
0.0707	5259.0
0.0778	5328.0
0.0848	5590.0
0.0919	5529.0
0.0990	5805.0
0.1061	5949.0
0.1131	5940.0
0.1202	5987.0
0.1273	6022.0
0.1343	6137.0
0.1414	6212.0
0.1485	6334.0
0.1556	6441.0
0.1626	6455.0
0.1697	6429.0
0.1768	6522.0
0.1838	6673.0
0.1909	6743.0
0.1980	6648.0
0.2051	6700.0
0.2121	6762.0
0.2192	6773.0
0.2263	6804.0
0.2333	6958.0
0.2404	6891.0
0.2475	6874.0
0.2545	6949.0
0.2616	7032.0
0.2687	7041.0
0.2758	7079.0
0.2828	7047.0
0.2899	7188.0
0.2970	7126.0
0.3040	7096.0
0.3111	7137.0
0.3182	7132.0
0.3253	7147.0
0.3323	7197.0
0.3394	7295.0
0.3465	7250.0
0.3535	7206.0
0.3606	7298.0
0.3677	7311.0
0.3747	7345.0
0.3818	7309.0
0.3889	7370.0
0.3960	7371.0
0.4030	7336.0
0.4101	7439.0
0.4172	7436.0
0.4242	7430.0
0.4313	7488.0
0.4384	7434.0
0.4455	7438.0
0.4525	7411.0
0.4596	7450.0
0.4667	7613.0
0.4737	7523.0
0.4808	7532.0
0.4879	7585.0
0.4949	7578.0
0.5020	7475.0
0.5091	7580.0
0.5162	7630.0
0.5232	7630.0
0.5303	7628.0
0.5374	7662.0
0.5444	7520.0
0.5515	7617.0
0.5586	7607.0
0.5657	7632.0
0.5727	7645.0
0.5798	7608.0
0.5869	7734.0
0.5939	7694.0
0.6010	7730.0
0.6081	7741.0
0.6152	7710.0
0.6222	7705.0
0.6293	7752.0
0.6364	7641.0
0.6434	7737.0
0.6505	7755.0
0.6576	7768.0
0.6646	7794.0
0.6717	7655.0
0.6788	7718.0
0.6859	7723.0
0.6929	7742.0
0.7000	7702.0
