Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	0.0
0.0040	0.0
0.0048	71.0
0.0056	78.0
0.0064	71.0
0.0072	91.0
0.0080	151.0
0.0088	120.0
0.0096	173.0
0.0104	237.0
0.0112	219.0
0.0120	197.0
0.0128	225.0
0.0136	265.0
0.0144	237.0
0.0152	266.0
0.0160	272.0
0.0168	273.0
0.0176	301.0
0.0184	270.0
0.0192	304.0
0.0200	306.0
0.0208	320.0
0.0216	325.0
0.0224	355.0
0.0232	356.0
0.0240	386.0
0.0248	361.0
0.0257	378.0
0.0265	393.0
0.0273	381.0
0.0281	394.0
0.0289	393.0
0.0297	412.0
0.0305	411.0
0.0313	434.0
0.0321	418.0
0.0329	411.0
0.0337	440.0
0.0345	439.0
0.0353	449.0
0.0361	453.0
0.0369	436.0
0.0377	457.0
0.0385	487.0
0.0393	481.0
0.0401	477.0
0.0409	481.0
0.0417	470.0
0.0425	473.0
0.0433	488.0
0.0441	464.0
0.0449	509.0
0.0457	505.0
0.0465	480.0
0.0473	531.0
0.0481	481.0
0.0489	541.0
0.0497	507.0
0.0505	518.0
0.0513	492.0
0.0521	508.0
0.0529	544.0
0.0537	528.0
0.0545	531.0
0.0553	520.0
0.0561	527.0
0.0569	510.0
0.0577	514.0
0.0585	541.0
0.0593	526.0
0.0601	534.0
0.0609	557.0
0.0617	552.0
0.0625	542.0
0.0633	530.0
0.0641	525.0
0.0649	573.0
0.0657	525.0
0.0665	576.0
0.0673	577.0
0.0681	537.0
0.0689	588.0
0.0697	559.0
0.0705	565.0
0.0713	567.0
0.0721	584.0
0.0729	570.0
0.0737	559.0
0.0745	577.0
0.0754	604.0
0.0762	589.0
0.0770	583.0
0.0778	541.0
0.0786	599.0
0.0794	611.0
0.0802	612.0
0.0810	589.0
0.0818	598.0
0.0826	599.0
0.0834	604.0
0.0842	599.0
0.0850	595.0
0.0858	621.0
0.0866	592.0
0.0874	605.0
0.0882	572.0
0.0890	613.0
0.0898	609.0
0.0906	597.0
0.0914	600.0
0.0922	597.0
0.0930	616.0
0.0938	614.0
0.0946	606.0
0.0954	630.0
0.0962	650.0
0.0970	616.0
0.0978	616.0
0.0986	614.0
0.0994	652.0
0.1002	661.0
0.1010	638.0
0.1018	626.0
0.1026	631.0
0.1034	659.0
0.1042	619.0
0.1050	640.0
0.1058	647.0
0.1066	658.0
0.1074	616.0
0.1082	604.0
0.1090	670.0
0.1098	644.0
0.1106	632.0
0.1114	633.0
0.1122	639.0
0.1130	643.0
0.1138	664.0
0.1146	639.0
0.1154	666.0
0.1162	645.0
0.1170	646.0
0.1178	639.0
0.1186	659.0
0.1194	656.0
0.1202	606.0
0.1210	660.0
0.1218	662.0
0.1226	651.0
0.1234	658.0
0.1242	654.0
0.1251	655.0
0.1259	651.0
0.1267	667.0
0.1275	667.0
0.1283	659.0
0.1291	654.0
0.1299	650.0
0.1307	635.0
0.1315	677.0
0.1323	653.0
0.1331	684.0
0.1339	659.0
0.1347	633.0
0.1355	652.0
0.1363	673.0
0.1371	655.0
0.1379	652.0
0.1387	682.0
0.1395	638.0
0.1403	658.0
0.1411	678.0
0.1419	685.0
0.1427	666.0
0.1435	660.0
0.1443	691.0
0.1451	694.0
0.1459	658.0
0.1467	676.0
0.1475	690.0
0.1483	653.0
0.1491	677.0
0.1499	670.0
0.1507	666.0
0.1515	674.0
0.1523	699.0
0.1531	679.0
0.1539	699.0
0.1547	691.0
0.1555	691.0
0.1563	678.0
0.1571	672.0
0.1579	687.0
0.1587	686.0
0.1595	683.0
0.1603	673.0
0.1611	685.0
0.1619	692.0
0.1627	671.0
0.1635	674.0
0.1643	710.0
0.1651	695.0
0.1659	673.0
0.1667	696.0
0.1675	685.0
0.1683	714.0
0.1691	704.0
0.1699	705.0
0.1707	696.0
0.1715	705.0
0.1723	698.0
0.1731	698.0
0.1739	705.0
0.1747	705.0
0.1756	713.0
0.1764	710.0
0.1772	717.0
0.1780	719.0
0.1788	702.0
0.1796	707.0
0.1804	706.0
0.1812	726.0
0.1820	713.0
0.1828	696.0
0.1836	728.0
0.1844	688.0
0.1852	719.0
0.1860	690.0
0.1868	694.0
0.1876	716.0
0.1884	702.0
0.1892	692.0
0.1900	725.0
0.1908	700.0
0.1916	683.0
0.1924	713.0
0.1932	711.0
0.1940	705.0
0.1948	705.0
0.1956	733.0
0.1964	731.0
0.1972	742.0
0.1980	718.0
0.1988	690.0
