Beta	Final Infections
0.2838	747.0
0.2846	759.0
0.2854	754.0
0.2862	743.0
0.2870	751.0
0.2878	761.0
0.2886	725.0
0.2894	749.0
0.2902	748.0
0.2910	740.0
0.2918	729.0
0.2926	739.0
0.2934	757.0
0.2942	759.0
0.2950	752.0
0.2958	743.0
0.2966	748.0
0.2974	752.0
0.2982	742.0
0.2990	752.0
0.2998	734.0
0.3006	752.0
0.3014	750.0
0.3022	749.0
0.3030	750.0
0.3038	744.0
0.3046	792.0
0.3054	753.0
0.3062	751.0
0.3070	757.0
0.3078	750.0
0.3086	734.0
0.3094	770.0
0.3102	752.0
0.3110	764.0
0.3118	757.0
0.3126	744.0
0.3134	753.0
0.3142	756.0
0.3150	766.0
0.3158	744.0
0.3166	754.0
0.3174	743.0
0.3182	763.0
0.3190	754.0
0.3198	760.0
0.3206	737.0
0.3214	739.0
0.3222	757.0
0.3230	752.0
0.3238	757.0
0.3246	769.0
0.3255	777.0
0.3263	742.0
0.3271	742.0
0.3279	765.0
0.3287	766.0
0.3295	806.0
0.3303	756.0
0.3311	768.0
0.3319	774.0
0.3327	763.0
0.3335	769.0
0.3343	748.0
0.3351	783.0
0.3359	777.0
0.3367	760.0
0.3375	764.0
0.3383	774.0
0.3391	758.0
0.3399	777.0
0.3407	759.0
0.3415	751.0
0.3423	751.0
0.3431	779.0
0.3439	792.0
0.3447	763.0
0.3455	774.0
0.3463	771.0
0.3471	772.0
0.3479	758.0
0.3487	774.0
0.3495	759.0
0.3503	769.0
0.3511	755.0
0.3519	769.0
0.3527	774.0
0.3535	774.0
0.3543	768.0
0.3551	785.0
0.3559	772.0
0.3567	792.0
0.3575	777.0
0.3583	779.0
0.3591	769.0
0.3599	796.0
0.3607	767.0
0.3615	758.0
0.3623	809.0
0.3631	767.0
0.3639	768.0
0.3647	782.0
0.3655	775.0
0.3663	732.0
0.3671	786.0
0.3679	752.0
0.3687	763.0
0.3695	765.0
0.3703	783.0
0.3711	768.0
0.3719	774.0
0.3727	772.0
0.3735	776.0
0.3743	782.0
0.3752	766.0
0.3760	780.0
0.3768	744.0
0.3776	776.0
0.3784	766.0
0.3792	783.0
0.3800	761.0
0.3808	768.0
0.3816	752.0
0.3824	788.0
0.3832	776.0
0.3840	768.0
0.3848	773.0
0.3856	764.0
0.3864	765.0
0.3872	760.0
0.3880	771.0
0.3888	796.0
0.3896	784.0
0.3904	782.0
0.3912	773.0
0.3920	793.0
0.3928	765.0
0.3936	758.0
0.3944	767.0
0.3952	778.0
0.3960	774.0
0.3968	790.0
0.3976	777.0
0.3984	791.0
0.3992	781.0
0.4000	790.0
