Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	0.0
0.0040	0.0
0.0048	0.0
0.0056	0.0
0.0064	0.0
0.0072	0.0
0.0080	0.0
0.0088	0.0
0.0096	0.0
0.0104	0.0
0.0112	0.0
0.0120	0.0
0.0128	0.0
0.0136	0.0
0.0144	0.0
0.0152	0.0
0.0160	0.0
0.0168	0.0
0.0176	0.0
0.0184	0.0
0.0192	0.0
0.0200	0.0
0.0208	0.0
0.0216	0.0
0.0224	0.0
0.0232	0.0
0.0240	0.0
0.0248	0.0
0.0257	0.0
0.0265	0.0
0.0273	0.0
0.0281	0.0
0.0289	0.0
0.0297	0.0
0.0305	0.0
0.0313	0.0
0.0321	0.0
0.0329	0.0
0.0337	0.0
0.0345	0.0
0.0353	0.0
0.0361	0.0
0.0369	0.0
0.0377	0.0
0.0385	0.0
0.0393	0.0
0.0401	0.0
0.0409	0.0
0.0417	0.0
0.0425	0.0
0.0433	0.0
0.0441	0.0
0.0449	0.0
0.0457	0.0
0.0465	0.0
0.0473	0.0
0.0481	0.0
0.0489	0.0
0.0497	0.0
0.0505	0.0
0.0513	0.0
0.0521	0.0
0.0529	0.0
0.0537	0.0
0.0545	0.0
0.0553	0.0
0.0561	0.0
0.0569	0.0
0.0577	0.0
0.0585	0.0
0.0593	0.0
0.0601	0.0
0.0609	0.0
0.0617	0.0
0.0625	0.0
0.0633	0.0
0.0641	0.0
0.0649	0.0
0.0657	0.0
0.0665	0.0
0.0673	0.0
0.0681	0.0
0.0689	0.0
0.0697	0.0
0.0705	0.0
0.0713	0.0
0.0721	0.0
0.0729	0.0
0.0737	0.0
0.0745	0.0
0.0754	0.0
0.0762	0.0
0.0770	0.0
0.0778	0.0
0.0786	0.0
0.0794	0.0
0.0802	0.0
0.0810	0.0
0.0818	0.0
0.0826	0.0
0.0834	0.0
0.0842	0.0
0.0850	0.0
0.0858	0.0
0.0866	0.0
0.0874	0.0
0.0882	0.0
0.0890	0.0
0.0898	0.0
0.0906	0.0
0.0914	0.0
0.0922	0.0
0.0930	0.0
0.0938	0.0
0.0946	0.0
0.0954	0.0
0.0962	0.0
0.0970	0.0
0.0978	0.0
0.0986	0.0
0.0994	0.0
0.1002	0.0
0.1010	0.0
0.1018	0.0
0.1026	8.0
0.1034	22.0
0.1042	4.0
0.1050	0.0
0.1058	21.0
0.1066	0.0
0.1074	7.0
0.1082	70.0
0.1090	44.0
0.1098	98.0
0.1106	64.0
0.1114	23.0
0.1122	88.0
0.1130	102.0
0.1138	67.0
0.1146	121.0
0.1154	114.0
0.1162	114.0
0.1170	124.0
0.1178	155.0
0.1186	178.0
0.1194	161.0
0.1202	226.0
0.1210	220.0
0.1218	172.0
0.1226	207.0
0.1234	237.0
0.1242	191.0
0.1251	267.0
0.1259	250.0
0.1267	236.0
0.1275	290.0
0.1283	232.0
0.1291	252.0
0.1299	241.0
0.1307	330.0
0.1315	315.0
0.1323	274.0
0.1331	303.0
0.1339	310.0
0.1347	297.0
0.1355	333.0
0.1363	288.0
0.1371	223.0
0.1379	354.0
0.1387	321.0
0.1395	281.0
0.1403	360.0
0.1411	410.0
0.1419	330.0
0.1427	371.0
0.1435	347.0
0.1443	395.0
0.1451	381.0
0.1459	374.0
0.1467	430.0
0.1475	364.0
0.1483	376.0
0.1491	374.0
0.1499	429.0
0.1507	427.0
0.1515	420.0
0.1523	429.0
0.1531	496.0
0.1539	402.0
0.1547	442.0
0.1555	405.0
0.1563	400.0
0.1571	434.0
0.1579	476.0
0.1587	450.0
0.1595	411.0
0.1603	415.0
0.1611	415.0
0.1619	480.0
0.1627	419.0
0.1635	469.0
0.1643	457.0
0.1651	436.0
0.1659	450.0
0.1667	455.0
0.1675	484.0
0.1683	486.0
0.1691	466.0
0.1699	474.0
0.1707	463.0
0.1715	507.0
0.1723	494.0
0.1731	484.0
0.1739	480.0
0.1747	512.0
0.1756	482.0
0.1764	490.0
0.1772	451.0
0.1780	491.0
0.1788	494.0
0.1796	536.0
0.1804	520.0
0.1812	508.0
0.1820	523.0
0.1828	471.0
0.1836	526.0
0.1844	548.0
0.1852	540.0
0.1860	520.0
0.1868	533.0
0.1876	517.0
0.1884	547.0
0.1892	536.0
0.1900	536.0
0.1908	581.0
0.1916	516.0
0.1924	565.0
0.1932	552.0
0.1940	513.0
0.1948	538.0
0.1956	557.0
0.1964	546.0
0.1972	519.0
0.1980	535.0
0.1988	551.0
