Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	56.0
0.0040	163.0
0.0048	149.0
0.0056	319.0
0.0064	269.0
0.0072	340.0
0.0080	431.0
0.0088	519.0
0.0096	516.0
0.0104	613.0
0.0112	660.0
0.0120	653.0
0.0128	692.0
0.0136	793.0
0.0144	788.0
0.0152	714.0
0.0160	831.0
0.0168	842.0
0.0176	917.0
0.0184	930.0
0.0192	911.0
0.0200	989.0
0.0208	1036.0
0.0216	1097.0
0.0224	1053.0
0.0232	1084.0
0.0240	1092.0
0.0248	1134.0
0.0257	1092.0
0.0265	1174.0
0.0273	1153.0
0.0281	1238.0
0.0289	1213.0
0.0297	1288.0
0.0305	1241.0
0.0313	1285.0
0.0321	1315.0
0.0329	1267.0
0.0337	1267.0
0.0345	1276.0
0.0353	1382.0
0.0361	1297.0
0.0369	1388.0
0.0377	1407.0
0.0385	1386.0
0.0393	1418.0
0.0401	1400.0
0.0409	1387.0
0.0417	1502.0
0.0425	1452.0
0.0433	1491.0
0.0441	1530.0
0.0449	1441.0
0.0457	1473.0
0.0465	1518.0
0.0473	1509.0
0.0481	1451.0
0.0489	1499.0
0.0497	1496.0
0.0505	1441.0
0.0513	1538.0
0.0521	1539.0
0.0529	1581.0
0.0537	1599.0
0.0545	1602.0
0.0553	1597.0
0.0561	1528.0
0.0569	1547.0
0.0577	1635.0
0.0585	1626.0
0.0593	1607.0
0.0601	1605.0
0.0609	1608.0
0.0617	1613.0
0.0625	1634.0
0.0633	1661.0
0.0641	1677.0
0.0649	1702.0
0.0657	1713.0
0.0665	1691.0
0.0673	1700.0
0.0681	1667.0
0.0689	1644.0
0.0697	1756.0
0.0705	1738.0
0.0713	1717.0
0.0721	1740.0
0.0729	1760.0
0.0737	1713.0
0.0745	1734.0
0.0754	1706.0
0.0762	1801.0
0.0770	1734.0
0.0778	1799.0
0.0786	1752.0
0.0794	1762.0
0.0802	1754.0
0.0810	1709.0
0.0818	1776.0
0.0826	1811.0
0.0834	1840.0
0.0842	1797.0
0.0850	1799.0
0.0858	1777.0
0.0866	1850.0
0.0874	1751.0
0.0882	1826.0
0.0890	1830.0
0.0898	1821.0
0.0906	1833.0
0.0914	1825.0
0.0922	1812.0
0.0930	1816.0
0.0938	1796.0
0.0946	1777.0
0.0954	1842.0
0.0962	1855.0
0.0970	1898.0
0.0978	1865.0
0.0986	1886.0
0.0994	1830.0
0.1002	1883.0
0.1010	1861.0
0.1018	1911.0
0.1026	1888.0
0.1034	1870.0
0.1042	1853.0
0.1050	1929.0
0.1058	1905.0
0.1066	1871.0
0.1074	1890.0
0.1082	1904.0
0.1090	1891.0
0.1098	1862.0
0.1106	1902.0
0.1114	1927.0
0.1122	1942.0
0.1130	1878.0
0.1138	1915.0
0.1146	1882.0
0.1154	1936.0
0.1162	1922.0
0.1170	1907.0
0.1178	1929.0
0.1186	1886.0
0.1194	1965.0
0.1202	2014.0
0.1210	1939.0
0.1218	1920.0
0.1226	1916.0
0.1234	2019.0
0.1242	1963.0
0.1251	1967.0
0.1259	1981.0
0.1267	1966.0
0.1275	1959.0
0.1283	1927.0
0.1291	1942.0
0.1299	1982.0
0.1307	1987.0
0.1315	2013.0
0.1323	2014.0
0.1331	2006.0
0.1339	1963.0
0.1347	2026.0
0.1355	2033.0
0.1363	1997.0
0.1371	2017.0
0.1379	2075.0
0.1387	1972.0
0.1395	2033.0
0.1403	1998.0
0.1411	2038.0
0.1419	2032.0
0.1427	1984.0
0.1435	2047.0
0.1443	2036.0
0.1451	2045.0
0.1459	2046.0
0.1467	2027.0
0.1475	2074.0
0.1483	2042.0
0.1491	2021.0
0.1499	2083.0
0.1507	2038.0
0.1515	2072.0
0.1523	2096.0
0.1531	2049.0
0.1539	2055.0
0.1547	2065.0
0.1555	2025.0
0.1563	2077.0
0.1571	2052.0
0.1579	2077.0
0.1587	2063.0
0.1595	2075.0
0.1603	2080.0
0.1611	2088.0
0.1619	2090.0
0.1627	2115.0
0.1635	2062.0
0.1643	2041.0
0.1651	2091.0
0.1659	2063.0
0.1667	2097.0
0.1675	2048.0
0.1683	2105.0
0.1691	2070.0
0.1699	2055.0
0.1707	2074.0
0.1715	2079.0
0.1723	2096.0
0.1731	2050.0
0.1739	2047.0
0.1747	2115.0
0.1756	2094.0
0.1764	2085.0
0.1772	2099.0
0.1780	2131.0
0.1788	2103.0
0.1796	2109.0
0.1804	2117.0
