Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	0.0
0.0040	0.0
0.0048	74.0
0.0056	75.0
0.0064	103.0
0.0072	80.0
0.0080	162.0
0.0088	136.0
0.0096	165.0
0.0104	199.0
0.0112	224.0
0.0120	202.0
0.0128	261.0
0.0136	222.0
0.0144	225.0
0.0152	250.0
0.0160	279.0
0.0168	288.0
0.0176	271.0
0.0184	301.0
0.0192	307.0
0.0200	322.0
0.0208	330.0
0.0216	362.0
0.0224	335.0
0.0232	332.0
0.0240	390.0
0.0248	368.0
0.0257	403.0
0.0265	361.0
0.0273	413.0
0.0281	378.0
0.0289	413.0
0.0297	420.0
0.0305	453.0
0.0313	401.0
0.0321	382.0
0.0329	418.0
0.0337	472.0
0.0345	430.0
0.0353	428.0
0.0361	444.0
0.0369	439.0
0.0377	455.0
0.0385	472.0
0.0393	429.0
0.0401	472.0
0.0409	471.0
0.0417	500.0
0.0425	491.0
0.0433	463.0
0.0441	486.0
0.0449	447.0
0.0457	483.0
0.0465	474.0
0.0473	495.0
0.0481	496.0
0.0489	501.0
0.0497	509.0
0.0505	493.0
0.0513	516.0
0.0521	477.0
0.0529	499.0
0.0537	489.0
0.0545	537.0
0.0553	548.0
0.0561	542.0
0.0569	512.0
0.0577	571.0
0.0585	532.0
0.0593	515.0
0.0601	536.0
0.0609	539.0
0.0617	526.0
0.0625	535.0
0.0633	570.0
0.0641	554.0
0.0649	554.0
0.0657	543.0
0.0665	583.0
0.0673	580.0
0.0681	588.0
0.0689	574.0
0.0697	544.0
0.0705	550.0
0.0713	572.0
0.0721	589.0
0.0729	586.0
0.0737	576.0
0.0745	555.0
0.0754	603.0
0.0762	566.0
0.0770	586.0
0.0778	579.0
0.0786	592.0
0.0794	563.0
0.0802	571.0
0.0810	612.0
0.0818	618.0
0.0826	596.0
0.0834	587.0
0.0842	591.0
0.0850	580.0
0.0858	576.0
0.0866	607.0
0.0874	605.0
0.0882	609.0
0.0890	573.0
0.0898	615.0
0.0906	623.0
0.0914	591.0
0.0922	605.0
0.0930	583.0
0.0938	626.0
0.0946	620.0
0.0954	587.0
0.0962	606.0
0.0970	644.0
0.0978	640.0
0.0986	635.0
0.0994	614.0
0.1002	655.0
0.1010	608.0
0.1018	631.0
0.1026	611.0
0.1034	619.0
0.1042	637.0
0.1050	618.0
0.1058	624.0
0.1066	619.0
0.1074	623.0
0.1082	644.0
0.1090	634.0
0.1098	631.0
0.1106	632.0
0.1114	646.0
0.1122	658.0
0.1130	608.0
0.1138	666.0
0.1146	620.0
0.1154	650.0
0.1162	668.0
0.1170	626.0
0.1178	635.0
0.1186	636.0
0.1194	635.0
0.1202	637.0
0.1210	632.0
0.1218	642.0
0.1226	668.0
0.1234	648.0
0.1242	660.0
0.1251	653.0
0.1259	645.0
0.1267	675.0
0.1275	659.0
0.1283	676.0
0.1291	658.0
0.1299	674.0
0.1307	648.0
0.1315	663.0
0.1323	680.0
0.1331	676.0
0.1339	670.0
0.1347	684.0
0.1355	679.0
0.1363	660.0
0.1371	674.0
0.1379	674.0
0.1387	667.0
0.1395	691.0
0.1403	673.0
0.1411	672.0
0.1419	661.0
0.1427	668.0
0.1435	673.0
0.1443	684.0
0.1451	644.0
0.1459	684.0
0.1467	672.0
0.1475	679.0
0.1483	672.0
0.1491	675.0
0.1499	679.0
0.1507	700.0
0.1515	672.0
0.1523	662.0
0.1531	671.0
0.1539	673.0
0.1547	678.0
0.1555	651.0
0.1563	681.0
0.1571	667.0
0.1579	672.0
0.1587	706.0
0.1595	660.0
0.1603	701.0
0.1611	699.0
0.1619	688.0
0.1627	679.0
0.1635	699.0
0.1643	646.0
0.1651	682.0
0.1659	727.0
0.1667	672.0
0.1675	689.0
0.1683	690.0
0.1691	677.0
0.1699	700.0
0.1707	656.0
0.1715	682.0
0.1723	715.0
0.1731	703.0
0.1739	697.0
0.1747	702.0
0.1756	691.0
0.1764	704.0
0.1772	696.0
0.1780	707.0
0.1788	702.0
0.1796	690.0
0.1804	683.0
0.1812	712.0
0.1820	690.0
0.1828	701.0
0.1836	670.0
0.1844	713.0
0.1852	696.0
0.1860	684.0
0.1868	698.0
0.1876	720.0
0.1884	686.0
0.1892	688.0
0.1900	710.0
0.1908	715.0
0.1916	716.0
0.1924	708.0
0.1932	715.0
0.1940	699.0
0.1948	712.0
0.1956	720.0
0.1964	715.0
0.1972	709.0
0.1980	693.0
0.1988	710.0
