Beta	Final Infections
0.0000	0.0
0.0008	0.0
0.0016	0.0
0.0024	0.0
0.0032	0.0
0.0040	0.0
0.0048	0.0
0.0056	0.0
0.0064	0.0
0.0072	0.0
0.0080	0.0
0.0088	0.0
0.0096	0.0
0.0104	0.0
0.0112	0.0
0.0120	0.0
0.0128	0.0
0.0136	0.0
0.0144	0.0
0.0152	0.0
0.0160	0.0
0.0168	0.0
0.0176	0.0
0.0184	0.0
0.0192	0.0
0.0200	0.0
0.0208	0.0
0.0216	0.0
0.0224	0.0
0.0232	0.0
0.0240	0.0
0.0248	0.0
0.0257	0.0
0.0265	0.0
0.0273	0.0
0.0281	0.0
0.0289	0.0
0.0297	0.0
0.0305	0.0
0.0313	0.0
0.0321	0.0
0.0329	0.0
0.0337	0.0
0.0345	0.0
0.0353	0.0
0.0361	0.0
0.0369	0.0
0.0377	0.0
0.0385	0.0
0.0393	0.0
0.0401	0.0
0.0409	0.0
0.0417	0.0
0.0425	0.0
0.0433	0.0
0.0441	0.0
0.0449	0.0
0.0457	0.0
0.0465	0.0
0.0473	0.0
0.0481	0.0
0.0489	0.0
0.0497	0.0
0.0505	0.0
0.0513	0.0
0.0521	0.0
0.0529	0.0
0.0537	0.0
0.0545	0.0
0.0553	0.0
0.0561	0.0
0.0569	0.0
0.0577	0.0
0.0585	0.0
0.0593	0.0
0.0601	0.0
0.0609	0.0
0.0617	0.0
0.0625	0.0
0.0633	0.0
0.0641	0.0
0.0649	0.0
0.0657	0.0
0.0665	0.0
0.0673	0.0
0.0681	0.0
0.0689	0.0
0.0697	0.0
0.0705	0.0
0.0713	0.0
0.0721	0.0
0.0729	0.0
0.0737	0.0
0.0745	0.0
0.0754	0.0
0.0762	0.0
0.0770	0.0
0.0778	0.0
0.0786	0.0
0.0794	0.0
0.0802	0.0
0.0810	0.0
0.0818	0.0
0.0826	0.0
0.0834	0.0
0.0842	0.0
0.0850	0.0
0.0858	0.0
0.0866	0.0
0.0874	0.0
0.0882	0.0
0.0890	0.0
0.0898	0.0
0.0906	0.0
0.0914	0.0
0.0922	0.0
0.0930	0.0
0.0938	0.0
0.0946	0.0
0.0954	0.0
0.0962	0.0
0.0970	0.0
0.0978	0.0
0.0986	0.0
0.0994	0.0
0.1002	0.0
0.1010	0.0
0.1018	0.0
0.1026	0.0
0.1034	0.0
0.1042	37.0
0.1050	0.0
0.1058	0.0
0.1066	0.0
0.1074	44.0
0.1082	24.0
0.1090	42.0
0.1098	41.0
0.1106	89.0
0.1114	0.0
0.1122	51.0
0.1130	109.0
0.1138	112.0
0.1146	121.0
0.1154	156.0
0.1162	45.0
0.1170	104.0
0.1178	160.0
0.1186	168.0
0.1194	231.0
0.1202	182.0
0.1210	156.0
0.1218	167.0
0.1226	192.0
0.1234	240.0
0.1242	242.0
0.1251	222.0
0.1259	276.0
0.1267	264.0
0.1275	223.0
0.1283	223.0
0.1291	248.0
0.1299	255.0
0.1307	224.0
0.1315	267.0
0.1323	301.0
0.1331	329.0
0.1339	324.0
0.1347	313.0
0.1355	294.0
0.1363	302.0
0.1371	323.0
0.1379	324.0
0.1387	335.0
0.1395	322.0
0.1403	358.0
0.1411	311.0
0.1419	358.0
0.1427	303.0
0.1435	350.0
0.1443	360.0
0.1451	322.0
0.1459	360.0
0.1467	336.0
0.1475	345.0
0.1483	412.0
0.1491	397.0
0.1499	411.0
0.1507	409.0
0.1515	386.0
0.1523	395.0
0.1531	373.0
0.1539	409.0
0.1547	437.0
0.1555	402.0
0.1563	480.0
0.1571	412.0
0.1579	410.0
0.1587	424.0
0.1595	444.0
0.1603	463.0
0.1611	457.0
0.1619	425.0
0.1627	434.0
0.1635	441.0
0.1643	484.0
0.1651	441.0
0.1659	435.0
0.1667	509.0
0.1675	485.0
0.1683	454.0
0.1691	500.0
0.1699	459.0
0.1707	486.0
0.1715	442.0
0.1723	481.0
0.1731	468.0
0.1739	458.0
0.1747	527.0
0.1756	502.0
0.1764	501.0
0.1772	534.0
0.1780	496.0
0.1788	532.0
0.1796	482.0
0.1804	538.0
0.1812	540.0
0.1820	516.0
0.1828	535.0
0.1836	484.0
0.1844	521.0
0.1852	522.0
0.1860	496.0
0.1868	506.0
0.1876	531.0
0.1884	518.0
0.1892	544.0
0.1900	577.0
0.1908	539.0
0.1916	515.0
0.1924	516.0
0.1932	556.0
0.1940	559.0
0.1948	550.0
0.1956	567.0
0.1964	566.0
0.1972	579.0
0.1980	520.0
0.1988	543.0
